Time,bitfinex,bitstamp,cex.io,coinbase,exmo,gemini,itbit,kraken,others,therocktrading
2017-12-24 03:00:00 UTC,13246.7407610291,13983.1511449648,16267.490085016,14388.704007202,14527.0808805107,14156.0044644024,14122.275795053,13833.0921405751,13542.0226785346,
2017-12-24 04:00:00 UTC,13170.2268240902,13913.1357296137,16221.8629438717,14301.0219826322,14505.6684237049,14163.6110456621,14108.6493467337,13738.5699224806,13529.534771097,
2017-12-24 05:00:00 UTC,13272.1496204925,13987.0646818182,16181.333890625,14443.674043653,14455.5175590355,14324.0162925372,14196.5760909091,13849.8484550562,13540.37757941465,
2017-12-24 06:00:00 UTC,13539.6870793327,14299.2671632124,16116.8598639456,14705.2482060138,14839.9854430997,14511.7709140768,14512.2407692308,14110.7155555556,13737.44006081205,
2017-12-24 07:00:00 UTC,13580.8974405205,14361.5905730994,16138.3136544343,14738.7098899237,14924.8718976223,14545.8092090068,14467.6969230769,14102.9604890605,13963.554476295649,
2017-12-24 08:00:00 UTC,13321.3169162388,14212.1314447806,16033.8878389262,14574.6310441559,14593.6011739991,14422.7790196078,14305.951147541,14023.2465793304,13816.53934790735,
2017-12-24 09:00:00 UTC,13135.5089191024,13969.0672576046,15630.6741245902,14510.9656915703,14515.4511187833,14285.5350200401,14125.6498734177,13816.1106849316,13644.359545087951,
2017-12-24 10:00:00 UTC,12613.716788414,13416.8122049318,15131.4574855252,14028.3381887998,14024.3595194569,13661.5127251184,13646.5828919861,13318.3719852941,13042.363791157,
2017-12-24 11:00:00 UTC,12111.6861335993,13048.838568869,14711.0897255508,13735.0077409674,13568.3950165126,13133.0540604027,13222.42432,13064.2822080292,12569.204215865451,13399.9933333333
2017-12-24 12:00:00 UTC,11990.340220563,12829.8610231621,14520.2558229376,13531.4620260284,13538.6982183052,12922.3673157895,12976.1312015504,12796.1288557214,12292.8036422658,
2017-12-24 13:00:00 UTC,12410.5808515846,13243.2457350608,14943.644800759,13972.9111635138,13920.1537129612,13313.7515936884,13091.4728364389,13178.938303887,12698.9137230421,15999.495
2017-12-24 14:00:00 UTC,12858.4949085628,13521.2701330378,15389.8562016293,14182.668228777,14096.9623069253,13598.566174986,13488.5427777778,13478.3110355254,13091.82053775405,13050.505
2017-12-24 15:00:00 UTC,12661.8806765889,13415.5795667709,15238.5284644767,14058.2427058671,13965.2532551403,13553.0228180262,13431.6623563218,13404.8981768459,12987.81713125085,13200.01
2017-12-24 16:00:00 UTC,12802.0467573923,13544.7231088664,15316.5198130841,14042.8657987186,14113.5870091768,13741.0910005379,13478.6771518987,13515.5663682864,13032.07386615225,13766.6722222222
2017-12-24 17:00:00 UTC,12691.6691661064,13374.4237236215,15132.6659021739,13901.608390944,13987.2080079934,13607.6074045802,13409.1278431373,13281.4788423153,12975.7548509193,
2017-12-24 18:00:00 UTC,12369.8960941558,13057.6170021802,14852.5914057295,13683.2341624069,13776.4875864715,13175.8029944547,13114.0603529412,12912.2512801756,12757.65527640135,13200.0075
2017-12-24 19:00:00 UTC,12207.6369525844,12850.4070990391,14687.7543239335,13534.6643764247,13717.5055374445,12929.1332035825,12903.1783950617,12745.4122599704,12427.1178430672,
2017-12-24 20:00:00 UTC,12685.4198317955,13285.5890637362,15167.3247063311,13801.3738552244,13826.7388245175,13373.3507462686,13294.63424,13157.0172104089,12861.83696194925,13400.0
2017-12-24 21:00:00 UTC,12714.8923617212,13269.2354545455,15186.4577656079,13807.3816869644,13842.7461285393,13406.2921527214,13349.5664864865,13159.4738683128,12920.933016487299,
2017-12-24 22:00:00 UTC,12825.0537122433,13470.5278534031,15295.1998974359,13860.3220955882,13862.1509739847,13555.1965649964,13430.2526519337,13244.4539447732,12938.34482303965,13481.172
2017-12-24 23:00:00 UTC,13324.6654150068,13939.6397030123,15853.8314220183,14148.4942763159,14023.2821761142,13992.4682117029,13923.8001181102,13591.7803474484,13479.1250485519,13999.0
2017-12-25 00:00:00 UTC,13465.0518180084,14136.1653628319,16025.7451699279,14253.2818284473,14016.3277747015,14128.7389357907,14063.3219285714,13806.7788930582,13637.773240817449,13999.0
2017-12-25 01:00:00 UTC,13242.1520428072,13871.3244804716,15680.1155459057,14019.7536498316,13992.8546121995,13872.4450032873,13780.0205882353,13553.8217522659,13381.1650861265,
2017-12-25 02:00:00 UTC,13077.847987242,13648.8480774963,15511.7991,13870.4753537908,13888.8466706604,13742.2251262799,13718.2942857143,13373.3835013749,13332.1152430579,
2017-12-25 03:00:00 UTC,13019.9699932207,13612.1798385469,15464.9073990307,13902.5103420283,13884.6095158299,13696.3800156986,13596.9089655172,13362.6737766625,13203.08758482795,
2017-12-25 04:00:00 UTC,13234.8520758505,13735.797043379,15707.2073277467,13955.6766130906,14108.4229453039,13856.2205083367,13656.4189189189,13548.4026602177,13308.09088075345,
2017-12-25 05:00:00 UTC,13352.6815842231,14032.490872757,15858.0413580247,14107.7423370301,14183.9046142697,14011.8843068392,13938.1851515152,13742.320502092,13444.62623957255,
2017-12-25 06:00:00 UTC,13504.972037368,14062.1339475065,15884.3978592092,14098.3142750169,14287.719113271,14032.7918267795,14047.5996491228,13842.3668918919,13552.067032887051,
2017-12-25 07:00:00 UTC,13544.7272075452,13983.9910943396,15801.260547486,14154.0497701151,14339.0504859576,14108.9074133763,14038.7111111111,13859.8001315789,13610.94650784965,
2017-12-25 08:00:00 UTC,13694.4925436255,14106.0901154734,15987.5705579399,14257.4784004474,14496.7255825716,14137.86908646,14110.5313207547,13987.6038223141,13687.3096198122,
2017-12-25 09:00:00 UTC,13752.4292432328,14104.0581199428,15859.9057417583,14356.1119673232,14547.0259855075,14193.398741784,14174.9603448276,14026.5188333333,13901.49634719015,
2017-12-25 10:00:00 UTC,13680.3736294034,14044.780846473,15740.8070889159,14305.7705627579,14448.6727469896,14120.399526387,14148.6939622642,13966.8805194805,13858.460885566601,
2017-12-25 11:00:00 UTC,13799.4679605203,14194.5869131371,15826.0898200514,14377.372250114,14492.3893048482,14231.5578536585,14227.2124242424,14111.115319149,13874.2424524694,
